epoch,train_accuracy,train_loss,val_accuracy,val_loss
1,0.8901006579399109,0.5157852172851562,0.09364548325538635,3.3194732666015625
2,0.968120813369751,0.23798812925815582,0.09364548325538635,5.535788059234619
3,0.9790268540382385,0.16502884030342102,0.10702341049909592,2.6680808067321777
4,0.9815436005592346,0.16157379746437073,0.4046822786331177,1.3207117319107056
5,0.9882550239562988,0.13563145697116852,0.9765886068344116,0.057826459407806396
6,0.9815436005592346,0.16261297464370728,0.6020066738128662,0.8791860938072205
7,0.9916107654571533,0.1067059338092804,1.0,0.01858026534318924
8,0.9832214713096619,0.09755575656890869,0.9832776188850403,0.08511244505643845
9,0.9974831938743591,0.06117294728755951,0.9063544869422913,0.39720574021339417
10,0.9983221292495728,0.034250907599925995,0.9598662257194519,0.10199563205242157
11,0.9958053827285767,0.03349192813038826,1.0,0.010989419184625149
12,0.9983221292495728,0.018952105194330215,1.0,0.002621833933517337
13,0.9983221292495728,0.021073563024401665,1.0,0.006014603655785322
14,0.9991610646247864,0.02188323251903057,0.9866220951080322,0.03244499862194061
15,0.9974831938743591,0.025680748745799065,0.9866220951080322,0.026933083310723305
16,1.0,0.0145993297919631,1.0,0.01148800365626812
17,0.9991610646247864,0.0103810029104352,1.0,0.00394009193405509
18,0.9974831938743591,0.02889680303633213,0.9866220951080322,0.030666755512356758
19,0.9958053827285767,0.013895520940423012,1.0,0.005506019573658705
20,1.0,0.01251487247645855,1.0,0.004107363056391478
21,0.994966447353363,0.03273797035217285,1.0,0.01100850012153387
22,1.0,0.014347156509757042,1.0,0.005227968096733093
23,0.9983221292495728,0.012713554315268993,1.0,0.0040005166083574295
24,0.9966443181037903,0.016448495909571648,1.0,0.003434754442423582
25,0.9974831938743591,0.012876080349087715,1.0,0.0035559963434934616
26,0.9983221292495728,0.010828006081283092,1.0,0.003289873478934169
27,0.9991610646247864,0.013689696788787842,1.0,0.0033258760813623667
